,car_names ,car_prices,car_ratings,car_review
490,"CADDLE & TOES Rock Car , Spring wheels ,1:20 scale,Remo...",₹853,3.5,"-17,267"
491,frendo High Speed Mini 1:24 Scale Rechargeable Remote c...,₹699,3.8,"-1,147"
492,Toys World 3D Fast Steering Remote Car,₹260,3.4,"-18,693"
493,TOYS TREK Remote Control Sports Racing Car,₹279,N/A,N/A
494,Xcillince Toys RC Car Chargable| Fun RC Toy and Gift fo...,₹447,3.4,"-1,340"
495,"CADDLE & TOES Rock Car , Spring wheels ,1:20 scale,Remo...",₹851,3.5,"-17,267"
496,frendo HI SPEED RC CAR LAM Black,₹949,4.1,-19
497,Delta Enterprises Remote Control Car,₹873,N/A,N/A
498,ctm toys Tesla Cybertruck High Speed RC 2.4GHz Long Bat...,₹884,N/A,N/A
499,magic toys High-Speed 4WD Spray RC Car - Remote Control...,"₹1,670",4,-64
500,"CADDLE & TOES Rock Car , Spring wheels ,1:20 scale,Remo...",₹853,3.5,"-17,267"
501,CADDLE & TOES New High Speed Sports Car With Rechargeab...,₹377,3.5,-550
502,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4.1,"-4,105"
503,Toyco Rechargeable Famous Remote Control Car with Smoke...,₹387,3.6,"-1,840"
504,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹536,3.5,"-52,302"
505,Toyco Rechargeable Famous Remote Control Car with Smoke...,₹387,3.6,"-1,840"
506,Wembley Rechargeable Adventure Jeep Off Roader All-Terr...,"₹1,102",4,-752
507,frendo Off Roader Monster Truck Black,"₹1,249",N/A,N/A
508,frendo High Speed 1:24 Rechargeable C type charging Min...,₹644,3.7,-214
509,Aavkar creation Off Roader Back Car 4x4 With Mist Smoke...,"₹1,337",3.3,-91
510,Xcillince Toys xt_Wireless Remote Control Fast Modern C...,₹267,N/A,N/A
511,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹699,3.8,"-2,468"
512,Just97 Rechargeable Farrari Style Remote Control Car Wi...,₹818,N/A,N/A
513,Buddynjoy 3D lighting kids high speed rechargeable remo...,₹386,3.6,"-15,021"
514,Webby Remote Controlled Doors,₹816,3.9,-362
515,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹411,3.5,"-52,302"
516,"Royaldeals 1/16 Rc Drift Car Rc Cars, 2.4Ghz 4Wd High S...","₹3,254",N/A,N/A
517,VikriDa Remote Control car with Mist Smoke Spray Functi...,"₹1,040",3.6,-266
518,Aavkar creation Hand Gesture Sensor RC Stunt Car Double...,"₹1,697",3.6,-203
519,Goyal's Remote Control RC Stunt Car Vehicle 360° Rotati...,₹330,3.6,-599
520,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4.1,"-4,105"
521,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹421,3.5,"-52,302"
522,CADDLE & TOES Famous Car Remote Control 3D Car with LED...,₹411,3.4,"-10,953"
523,SJVJ R/c stunt car defender,"₹1,211",3.7,-12
524,Buddynjoy 3D lighting kids high speed rechargeable remo...,₹396,3.6,"-15,021"
525,Miss & Chief 3D LED Lighting | high speed rechargeable ...,₹286,3.5,"-2,140"
526,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,437",4.1,"-4,105"
527,CADDLE & TOES Remote Controlled Rock Crawler RC Monster...,₹705,3.5,"-19,765"
528,Amayra Toy Car like Ferrari With open And Closed Doors ...,₹755,3.6,"-5,779"
529,VikriDa 2.4G 1:20 RC Car Stunt Spray Car with Light Bat...,₹748,3.6,-310
530,frendo High Speed Mini 1:24 Scale Rechargeable Remote c...,₹699,3.8,-121
